link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes,VDF_alpha1,VDF_beta1
3310,Cascadilla Street,354911803,1462,985,1,"LINESTRING (-76.4958145 42.4433333, -76.4959347 42.4433755, -76.4969313 42.4437255, -76.497021 42.443757)",1,109.64,unclassified,20,30,1,600,auto,,0.15,4.0
3311,Eastwood Terrace,359182514,1118,1656,1,"LINESTRING (-76.47606 42.432741, -76.4760079 42.432869, -76.4760516 42.4336806)",1,105.18,residential,6,30,1,600,auto,,0.15,4.0
3312,Eastwood Terrace,359182514,1656,1118,1,"LINESTRING (-76.4760516 42.4336806, -76.4760079 42.432869, -76.47606 42.432741)",1,105.18,residential,6,30,1,600,auto,,0.15,4.0
3313,West State Street,364252593,1657,1302,1,"LINESTRING (-76.5006158 42.4394932, -76.4991257 42.4395473, -76.4990276 42.4395493)",1,130.48,tertiary,5,48,1,900,auto,,0.15,4.0
3314,West State Street,364252593,1302,1657,1,"LINESTRING (-76.4990276 42.4395493, -76.4991257 42.4395473, -76.5006158 42.4394932)",1,130.48,tertiary,5,48,1,900,auto,,0.15,4.0
3315,North Triphammer Road,376872515,1658,551,1,"LINESTRING (-76.4900952 42.4925643, -76.4901765 42.4946988)",1,237.44,tertiary,5,64,1,900,auto,,0.15,4.0
3316,North Triphammer Road,376872515,551,1659,1,"LINESTRING (-76.4901765 42.4946988, -76.490192 42.4949821, -76.490306 42.4968928, -76.4903793 42.4981212, -76.4903897 42.4983286, -76.4904037 42.4984398, -76.4904386 42.498952, -76.4904496 42.4991132, -76.490499 42.4998385, -76.4905411 42.500542, -76.4905905 42.5012866, -76.4905937 42.5013349, -76.4906063 42.5015255)",1,759.93,tertiary,5,64,1,900,auto,,0.15,4.0
3317,North Triphammer Road,376872515,1660,1658,1,"LINESTRING (-76.4900816 42.4922063, -76.4900952 42.4925643)",1,39.82,tertiary,5,64,1,900,auto,,0.15,4.0
3318,North Triphammer Road,376872515,551,1658,1,"LINESTRING (-76.4901765 42.4946988, -76.4900952 42.4925643)",1,237.44,tertiary,5,64,1,900,auto,,0.15,4.0
3319,North Triphammer Road,376872515,1659,551,1,"LINESTRING (-76.4906063 42.5015255, -76.4905937 42.5013349, -76.4905905 42.5012866, -76.4905411 42.500542, -76.490499 42.4998385, -76.4904496 42.4991132, -76.4904386 42.498952, -76.4904037 42.4984398, -76.4903897 42.4983286, -76.4903793 42.4981212, -76.490306 42.4968928, -76.490192 42.4949821, -76.4901765 42.4946988)",1,759.93,tertiary,5,64,1,900,auto,,0.15,4.0
