name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,213409446,,,,,primary,0,-76.518574,42.448787,,,
,1,213409480,,,,,primary,0,-76.517811,42.449783,,,
,2,9168379232,,,,,unclassified,0,-76.5005138,42.4459622,,,
,3,213409896,,,,,unclassified,0,-76.50126,42.4468844,,,
,4,213409899,,,,,tertiary,0,-76.501998,42.447808,,,
,5,213409924,,,,,unclassified,0,-76.4595374,42.4293598,,,
,6,213409935,,,,,residential,2,-76.4591526,42.4300439,,,
,7,213409942,,,,,residential,2,-76.510763,42.4233737,,,
,8,213409954,,,,,tertiary,0,-76.5089305,42.4243034,,,
,9,213409959,,,,,unclassified,0,-76.4951253,42.4313923,,,
,10,213409964,,,,,residential,2,-76.495108,42.430864,,,
,11,213410337,,,,,tertiary,0,-76.5034531,42.4306824,,,
,12,213410339,,,,,tertiary,0,-76.5035514,42.4317984,,,
,13,213410388,,,,,trunk,0,-76.533382,42.413648,,,
,14,213410399,,,,,residential,0,-76.534425,42.414877,,,
,15,213410402,,,,,residential,0,-76.478747,42.4741363,,,
,16,213410421,,,,,residential,0,-76.477338,42.474947,,,
,17,213410439,,,,,residential,0,-76.476072,42.475076,,,
,18,213410448,,,,,residential,0,-76.474654,42.475036,,,
,19,213410468,,,,,residential,0,-76.472586,42.475927,,,
,20,213410492,,,,,tertiary,0,-76.472133,42.4784383,,,
,21,213410513,,,,,tertiary,0,-76.441667,42.432012,,,
,22,7899064308,,,,,residential,0,-76.4432341,42.442829,,,
,23,213437235,,,,,residential,0,-76.441265,42.4488876,,,
,24,213410671,,,,,residential,2,-76.441283,42.448308,,,
,25,213410848,,,,,tertiary,0,-76.497028,42.443888,,,
,26,213410864,,,,,tertiary,0,-76.49927,42.444809,,,
,27,213410869,,,,,tertiary,0,-76.490697,42.464224,,,
,28,213410917,,,,,residential,0,-76.4922852,42.4625211,,,
,29,213410941,,,,,residential,0,-76.4940853,42.4636613,,,
,30,213410959,,,,,residential,0,-76.4948911,42.4637194,,,
,31,213411257,,,,,residential,0,-76.4946966,42.4646377,,,
,32,213411373,,,,,primary,0,-76.52874,42.459995,,,
,33,213411399,,,,,residential,0,-76.526903,42.460307,,,
,34,213411415,,,,,residential,0,-76.5267632,42.4599457,,,
,35,213411430,,,,,tertiary,0,-76.490718,42.455421,,,
,36,213411454,,,,,residential,0,-76.492104,42.456056,,,
,37,213411669,,,,,motorway,0,-76.479124,42.481521,,,
,38,4890313700,,,,,motorway,0,-76.4822597,42.4815147,,,
,39,4873078448,,,,,tertiary,0,-76.484503,42.481969,,,
,40,213411653,,,,,motorway,0,-76.484794,42.481375,,,
,41,213412114,,,,,residential,0,-76.550946,42.409161,,,
,42,213412220,,72,,,residential,2,-76.5598529,42.4117842,,,
,43,213413034,,,,,primary,0,-76.511289,42.492394,,,
,44,213413094,,24,,,residential,2,-76.5116914,42.4903435,,,
,45,213413283,,,,,residential,2,-76.4757251,42.4485107,,,
,46,213413292,,,,,residential,0,-76.4743883,42.4485318,,,
,47,213437435,,,,,residential,0,-76.4734627,42.4377397,,,
,48,213523248,,,,,residential,0,-76.4743764,42.4389738,,,
,49,213413744,,,,,unclassified,0,-76.536414,42.435987,,,
,50,213413745,,,,,residential,2,-76.536477,42.437873,,,
,51,12524573242,,,,,secondary,0,-76.5178112,42.4546484,,,
,52,213415319,,,,,unclassified,0,-76.516058,42.455539,,,
,53,3044882415,,44,,,unclassified,0,-76.5134744,42.4572319,,,
,54,3044882452,,,,,unclassified,0,-76.5128447,42.4576559,,,
,55,213415414,,,,,motorway,0,-76.488615,42.480646,,,
,56,213415425,,,,,motorway,0,-76.4853786,42.4806212,,,
,57,213415517,,,,,tertiary,0,-76.499189,42.477685,,,
,58,213415482,,,,,motorway,0,-76.495035,42.479824,,,
,59,213415525,,,,,motorway,0,-76.49875,42.478429,,,
,60,213415593,,,,,tertiary,0,-76.499235,42.477873,,,
,61,213417743,,,,,primary,0,-76.552876,42.447859,,,
,62,213417779,,,,,residential,2,-76.55183,42.451683,,,
,63,213419920,,,,,residential,2,-76.43865,42.429772,,,
,64,213419945,,,,,tertiary,0,-76.438731,42.431518,,,
,65,213413158,,,,,residential,2,-76.4785239,42.45785,,,
,66,213420677,,,,,residential,0,-76.4783296,42.4568134,,,
,67,213420940,,,,,residential,0,-76.514,42.433007,,,
,68,213420943,,,,,residential,0,-76.514151,42.433005,,,
,69,213420947,,,,,residential,0,-76.514919,42.433026,,,
,70,213420950,,,,,residential,0,-76.515067,42.433047,,,
,71,213421416,,,,,trunk,0,-76.5086287,42.4449539,,,
,72,213421407,,,,,tertiary,0,-76.5083349,42.4450922,,,
,73,213422370,,,,,residential,0,-76.514487,42.432289,,,
,74,213422381,,,,,residential,0,-76.513259,42.432391,,,
,75,213422384,,,,,residential,0,-76.513124,42.43246,,,
,76,213422385,,,,,residential,0,-76.512405,42.432798,,,
,77,213422722,,,,,residential,0,-76.4812833,42.48961,,,
,78,213422724,,,,,residential,2,-76.4786215,42.4896711,,,
,79,213423028,,,,,unclassified,0,-76.51328,42.453837,,,
,80,213423034,,,,,unclassified,0,-76.513641,42.45472,,,
,81,213423945,,,,,unclassified,0,-76.5055723,42.4525146,,,
,82,1320832358,,,,,unclassified,0,-76.5045401,42.4530093,,,
,83,213424814,,,,,motorway,0,-76.4990822,42.463102,,,
,84,213424839,,,,,primary,0,-76.500436,42.462301,,,
,85,835863758,,,,,motorway,0,-76.4985081,42.479841,,,
,86,213425013,,,,,motorway,0,-76.497683,42.479213,,,
,87,213425169,,,,,unclassified,0,-76.518013,42.407038,,,
,88,213425171,,,,,residential,2,-76.516456,42.406925,,,
,89,213425174,,,,,unclassified,0,-76.518025,42.40641,,,
,90,213425176,,,,,residential,2,-76.516964,42.406422,,,
,91,213425507,,,,,unclassified,0,-76.514896,42.4535576,,,
,92,3044881782,,,,,unclassified,0,-76.5155103,42.4532505,,,
,93,1236778545,,,,,residential,2,-76.4665236,42.4417635,,,
,94,10186612290,,,,,residential,0,-76.4686964,42.4420517,,,
,95,213427654,,,,,residential,2,-76.5042,42.472851,,,
,96,213427669,,34,,,primary,0,-76.505254,42.474728,,,
,97,213427674,,,,,residential,2,-76.5005026,42.4667535,,,
,98,213427683,,,,,primary,0,-76.500355,42.467138,,,
,99,213427800,,,,,unclassified,0,-76.518641,42.438362,,,
,100,213427802,,,,,unclassified,0,-76.5192443,42.4384053,,,
,101,213413304,,,,,residential,0,-76.4744158,42.4479859,,,
,102,213428100,,,,,tertiary,0,-76.4744464,42.4475725,,,
,103,213428105,,,,,tertiary,0,-76.4737561,42.4475695,,,
,104,213413302,,,,,residential,0,-76.4737567,42.4479873,,,
,105,213428252,,,,,residential,0,-76.4719173,42.450554,,,
,106,213428257,,,,,tertiary,0,-76.4714156,42.4516939,,,
