o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,volume,geometry
22,C2,24,C4,4.474219873525255,0.1985257535233496,"LINESTRING (-76.568709325 42.489008325, -76.514142945 42.489008325)"
22,C2,25,C5,6.711329664414057,0.7926262879489354,"LINESTRING (-76.568709325 42.489008325, -76.486859755 42.489008325)"
22,C2,26,C6,8.948439282469979,0.0677552046861126,"LINESTRING (-76.568709325 42.489008325, -76.45957656499998 42.489008325)"
22,C2,33,D3,2.870370282706496,0.34156649959734403,"LINESTRING (-76.568709325 42.489008325, -76.541426135 42.472837855)"
22,C2,34,D4,4.822539681542437,0.2089063994335208,"LINESTRING (-76.568709325 42.489008325, -76.514142945 42.472837855)"
22,C2,35,D5,6.94886030955151,1.0015004027468157,"LINESTRING (-76.568709325 42.489008325, -76.486859755 42.472837855)"
22,C2,36,D6,9.128435509528975,0.6403705418039595,"LINESTRING (-76.568709325 42.489008325, -76.45957656499998 42.472837855)"
22,C2,37,D7,11.33057417355636,0.04192392297406507,"LINESTRING (-76.568709325 42.489008325, -76.43229337500001 42.472837855)"
22,C2,43,E3,4.235508435053673,0.2865316922012378,"LINESTRING (-76.568709325 42.489008325, -76.541426135 42.456667384999996)"
22,C2,44,E4,5.741191101306225,0.30425961767031307,"LINESTRING (-76.568709325 42.489008325, -76.514142945 42.456667384999996)"
22,C2,45,E5,7.6156098102006,1.1878993638575635,"LINESTRING (-76.568709325 42.489008325, -76.486859755 42.456667384999996)"
22,C2,46,E6,9.646151651849655,0.15522439676165067,"LINESTRING (-76.568709325 42.489008325, -76.45957656499998 42.456667384999996)"
22,C2,47,E7,11.75216824097702,0.22274697486496886,"LINESTRING (-76.568709325 42.489008325, -76.43229337500001 42.456667384999996)"
22,C2,53,F3,5.840049608657246,0.13354654622732626,"LINESTRING (-76.568709325 42.489008325, -76.541426135 42.440496915)"
22,C2,54,F4,7.009408129045832,0.6337894444350615,"LINESTRING (-76.568709325 42.489008325, -76.514142945 42.440496915)"
22,C2,55,F5,8.612462215333547,2.3202636379091492,"LINESTRING (-76.568709325 42.489008325, -76.486859755 42.440496915)"
22,C2,56,F6,10.451520756174363,0.18714611859872074,"LINESTRING (-76.568709325 42.489008325, -76.45957656499998 42.440496915)"
22,C2,57,F7,12.422203541042547,0.051224545828679774,"LINESTRING (-76.568709325 42.489008325, -76.43229337500001 42.440496915)"
22,C2,63,G3,7.532527378456192,0.08092343114618095,"LINESTRING (-76.568709325 42.489008325, -76.541426135 42.424326445000005)"
22,C2,64,G4,8.471627361002929,0.11987744138721043,"LINESTRING (-76.568709325 42.489008325, -76.514142945 42.424326445000005)"
22,C2,65,G5,9.839595392105418,0.3333318233559874,"LINESTRING (-76.568709325 42.489008325, -76.486859755 42.424326445000005)"
22,C2,66,G6,11.48418338942059,0.3207997506032054,"LINESTRING (-76.568709325 42.489008325, -76.45957656499998 42.424326445000005)"
22,C2,67,G7,13.30319354352232,0.02622913712335218,"LINESTRING (-76.568709325 42.489008325, -76.43229337500001 42.424326445000005)"
22,C2,72,H2,8.990371127535242,0.011233391117635293,"LINESTRING (-76.568709325 42.489008325, -76.568709325 42.408155975)"
22,C2,73,H3,9.264874504035982,0.07597736011883477,"LINESTRING (-76.568709325 42.489008325, -76.541426135 42.408155975)"
22,C2,74,H4,10.043469457948733,0.08862099608019952,"LINESTRING (-76.568709325 42.489008325, -76.514142945 42.408155975)"
22,C2,75,H5,11.221715956558189,0.11899228682441794,"LINESTRING (-76.568709325 42.489008325, -76.486859755 42.408155975)"
22,C2,76,H6,12.688766201864132,0.035393732362236,"LINESTRING (-76.568709325 42.489008325, -76.45957656499998 42.408155975)"
22,C2,77,H7,14.356354387514294,0.005751806510051204,"LINESTRING (-76.568709325 42.489008325, -76.43229337499999 42.408155975)"
22,C2,85,I5,12.708356304961809,0.007061492301912157,"LINESTRING (-76.568709325 42.489008325, -76.486859755 42.39198550499999)"
24,C4,22,C2,4.474219873525255,0.13847148603944803,"LINESTRING (-76.514142945 42.489008325, -76.568709325 42.489008325)"
24,C4,25,C5,2.2371099627144027,9.798492275867652,"LINESTRING (-76.514142945 42.489008325, -76.486859755 42.489008325)"
24,C4,26,C6,4.474219873525255,0.8308289162366882,"LINESTRING (-76.514142945 42.489008325, -76.45957656499998 42.489008325)"
24,C4,33,D3,2.870370282706496,2.3824224283815094,"LINESTRING (-76.514142945 42.489008325, -76.541426135 42.472837855)"
24,C4,34,D4,1.7980742236361127,2.1558878886934765,"LINESTRING (-76.514142945 42.489008325, -76.514142945 42.472837855)"
24,C4,35,D5,2.870370282706496,11.741939111308868,"LINESTRING (-76.514142945 42.489008325, -76.486859755 42.472837855)"
24,C4,36,D6,4.822539681542437,7.682995029109791,"LINESTRING (-76.514142945 42.489008325, -76.45957656499998 42.472837855)"
