o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,geometry
0,A0,0,A0,0.0,"LINESTRING (-76.623275705 42.52134926500001, -76.623275705 42.52134926500001)"
0,A0,1,A1,2.2359529568530343,"LINESTRING (-76.623275705 42.52134926500001, -76.595992515 42.521349265000005)"
0,A0,2,A2,4.471905857602225,"LINESTRING (-76.623275705 42.52134926500001, -76.56870932499999 42.521349265000005)"
0,A0,3,A3,6.7078586407692775,"LINESTRING (-76.623275705 42.52134926500001, -76.541426135 42.52134926500001)"
0,A0,4,A4,8.943811251257959,"LINESTRING (-76.623275705 42.52134926500001, -76.514142945 42.52134926500001)"
0,A0,5,A5,11.17976362994112,"LINESTRING (-76.623275705 42.52134926500001, -76.486859755 42.521349265000005)"
0,A0,6,A6,13.415715719035092,"LINESTRING (-76.623275705 42.52134926500001, -76.45957656499998 42.521349265000005)"
0,A0,7,A7,15.65166746056411,"LINESTRING (-76.623275705 42.52134926500001, -76.43229337500001 42.52134926500001)"
0,A0,8,A8,17.887618796984075,"LINESTRING (-76.623275705 42.52134926500001, -76.40501018500001 42.52134926500001)"
0,A0,9,A9,20.123569670046884,"LINESTRING (-76.623275705 42.52134926500001, -76.37772699500002 42.521349265000005)"
0,A0,10,B0,1.7980742286485372,"LINESTRING (-76.623275705 42.52134926500001, -76.623275705 42.505178795000006)"
0,A0,11,B1,2.869468648711392,"LINESTRING (-76.623275705 42.52134926500001, -76.595992515 42.50517879500001)"
0,A0,12,B2,4.820392931713085,"LINESTRING (-76.623275705 42.52134926500001, -76.56870932499999 42.50517879500001)"
0,A0,13,B3,6.945508075422071,"LINESTRING (-76.623275705 42.52134926500001, -76.541426135 42.505178795000006)"
0,A0,14,B4,9.123898892111482,"LINESTRING (-76.623275705 42.52134926500001, -76.514142945 42.505178795000006)"
0,A0,15,B5,11.324863357445691,"LINESTRING (-76.623275705 42.52134926500001, -76.486859755 42.50517879500001)"
0,A0,16,B6,13.53739542930743,"LINESTRING (-76.623275705 42.52134926500001, -76.45957656499998 42.50517879500001)"
0,A0,17,B7,15.756622737881164,"LINESTRING (-76.623275705 42.52134926500001, -76.43229337500001 42.505178795000006)"
0,A0,18,B8,17.980066146706136,"LINESTRING (-76.623275705 42.52134926500001, -76.40501018500001 42.505178795000006)"
0,A0,19,B9,20.20633373041948,"LINESTRING (-76.623275705 42.52134926500001, -76.37772699500002 42.50517879500001)"
0,A0,20,C0,3.596148450496795,"LINESTRING (-76.623275705 42.52134926500001, -76.623275705 42.489008325)"
0,A0,21,C1,4.2348974705963,"LINESTRING (-76.623275705 42.52134926500001, -76.595992515 42.489008325)"
0,A0,22,C2,5.7393880170864495,"LINESTRING (-76.623275705 42.52134926500001, -76.568709325 42.489008325)"
0,A0,23,C3,7.612551264660655,"LINESTRING (-76.623275705 42.52134926500001, -76.541426135 42.489008325)"
0,A0,24,C4,9.64185873501028,"LINESTRING (-76.623275705 42.52134926500001, -76.514142945 42.489008325)"
0,A0,25,C5,11.746662526902131,"LINESTRING (-76.623275705 42.52134926500001, -76.486859755 42.489008325)"
0,A0,26,C6,13.892690669904137,"LINESTRING (-76.623275705 42.52134926500001, -76.45957656499998 42.489008325)"
0,A0,27,C7,16.06342910903972,"LINESTRING (-76.623275705 42.52134926500001, -76.43229337499999 42.489008325)"
0,A0,28,C8,18.25006235283154,"LINESTRING (-76.623275705 42.52134926500001, -76.405010185 42.489008325)"
0,A0,29,C9,20.44749152637966,"LINESTRING (-76.623275705 42.52134926500001, -76.37772699500002 42.489008325)"
