link_id,link_no,layer_no,from_node_id,to_node_id,from_gate_flag,to_gate_flag,link_type,link_type_name,lanes,link_distance_VDF,free_speed,cutoff_speed,fftt,capacity,allow_uses,BPR_plf,BPR_alpha,BPR_beta,QVDF_qdf,QVDF_alpha,QVDF_beta,QVDF_cd,QVDF_n,geometry
16,16,0,15,16,-1,-1,6,residential,0,0.091411,30.000000,25.500000,0.182822,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4787470 42.4741363, -76.4785900 42.4742256, -76.4782890 42.4744120, -76.4782298 42.4744479, -76.4780680 42.4745460, -76.4779050 42.4746550, -76.4778120 42.4747160, -76.4777080 42.4747752, -76.4776170 42.4748270, -76.4774440 42.4749100, -76.4773380 42.4749470)",
17,17,0,16,15,-1,-1,6,residential,0,0.091411,30.000000,25.500000,0.182822,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4773380 42.4749470, -76.4774440 42.4749100, -76.4776170 42.4748270, -76.4777080 42.4747752, -76.4778120 42.4747160, -76.4779050 42.4746550, -76.4780680 42.4745460, -76.4782298 42.4744479, -76.4782890 42.4744120, -76.4785900 42.4742256, -76.4787470 42.4741363)",
18,18,0,16,17,-1,-1,6,residential,0,0.066022,30.000000,25.500000,0.132045,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4773380 42.4749470, -76.4772570 42.4749750, -76.4771449 42.4750042, -76.4770570 42.4750270, -76.4768510 42.4750570, -76.4766410 42.4750780, -76.4766119 42.4750779, -76.4763652 42.4750772, -76.4763110 42.4750770, -76.4762140 42.4750790, -76.4761774 42.4750782, -76.4760720 42.4750760)",
19,19,0,17,16,-1,-1,6,residential,0,0.066022,30.000000,25.500000,0.132045,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4760720 42.4750760, -76.4761774 42.4750782, -76.4762140 42.4750790, -76.4763110 42.4750770, -76.4763652 42.4750772, -76.4766119 42.4750779, -76.4766410 42.4750780, -76.4768510 42.4750570, -76.4770570 42.4750270, -76.4771449 42.4750042, -76.4772570 42.4749750, -76.4773380 42.4749470)",
20,20,0,17,18,-1,-1,6,residential,0,0.072505,30.000000,25.500000,0.145009,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4760720 42.4750760, -76.4757684 42.4750666, -76.4757522 42.4750661, -76.4756220 42.4750620, -76.4755620 42.4750600, -76.4754880 42.4750610, -76.4753888 42.4750570, -76.4750630 42.4750440, -76.4749569 42.4750438, -76.4748659 42.4750415, -76.4747357 42.4750381, -76.4746540 42.4750360)",
21,21,0,18,17,-1,-1,6,residential,0,0.072505,30.000000,25.500000,0.145009,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4746540 42.4750360, -76.4747357 42.4750381, -76.4748659 42.4750415, -76.4749569 42.4750438, -76.4750630 42.4750440, -76.4753888 42.4750570, -76.4754880 42.4750610, -76.4755620 42.4750600, -76.4756220 42.4750620, -76.4757522 42.4750661, -76.4757684 42.4750666, -76.4760720 42.4750760)",
22,22,0,18,19,-1,-1,6,residential,0,0.125264,30.000000,25.500000,0.250528,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4746540 42.4750360, -76.4745130 42.4750380, -76.4743560 42.4750530, -76.4743267 42.4750586, -76.4742435 42.4750745, -76.4742040 42.4750820, -76.4740550 42.4751200, -76.4739140 42.4751710, -76.4738987 42.4751780, -76.4738734 42.4751895, -76.4737752 42.4752342, -76.4736900 42.4752730, -76.4735263 42.4753545, -76.4734612 42.4753869, -76.4732309 42.4755016, -76.4732060 42.4755140, -76.4731694 42.4755359, -76.4729530 42.4756650, -76.4729005 42.4757020, -76.4728421 42.4757430, -76.4726530 42.4758760, -76.4725860 42.4759270)",
23,23,0,19,18,-1,-1,6,residential,0,0.125264,30.000000,25.500000,0.250528,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4725860 42.4759270, -76.4726530 42.4758760, -76.4728421 42.4757430, -76.4729005 42.4757020, -76.4729530 42.4756650, -76.4731694 42.4755359, -76.4732060 42.4755140, -76.4732309 42.4755016, -76.4734612 42.4753869, -76.4735263 42.4753545, -76.4736900 42.4752730, -76.4737752 42.4752342, -76.4738734 42.4751895, -76.4738987 42.4751780, -76.4739140 42.4751710, -76.4740550 42.4751200, -76.4742040 42.4750820, -76.4742435 42.4750745, -76.4743267 42.4750586, -76.4743560 42.4750530, -76.4745130 42.4750380, -76.4746540 42.4750360)",
24,24,0,19,20,-1,-1,6,residential,0,0.183760,30.000000,25.500000,0.367520,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4725860 42.4759270, -76.4724271 42.4760546, -76.4724128 42.4760661, -76.4723120 42.4761470, -76.4722200 42.4762290, -76.4721390 42.4763200, -76.4720720 42.4764200, -76.4720558 42.4764511, -76.4720200 42.4765200, -76.4719820 42.4766280, -76.4719590 42.4767360, -76.4719535 42.4768360, -76.4719530 42.4768450, -76.4719650 42.4769619, -76.4720005 42.4773059, -76.4720212 42.4775072, -76.4720285 42.4775787, -76.4720555 42.4778409, -76.4720692 42.4779735, -76.4720946 42.4782198, -76.4721229 42.4783805, -76.4721330 42.4784383)",
25,25,0,20,19,-1,-1,6,residential,0,0.183760,30.000000,25.500000,0.367520,1000.000000,auto,1.000000,0.150000,4.000000,-1.000000,0.272877,4.000000,0.954946,1.141574,"LINESTRING (-76.4721330 42.4784383, -76.4721229 42.4783805, -76.4720946 42.4782198, -76.4720692 42.4779735, -76.4720555 42.4778409, -76.4720285 42.4775787, -76.4720212 42.4775072, -76.4720005 42.4773059, -76.4719650 42.4769619, -76.4719530 42.4768450, -76.4719535 42.4768360, -76.4719590 42.4767360, -76.4719820 42.4766280, -76.4720200 42.4765200, -76.4720558 42.4764511, -76.4720720 42.4764200, -76.4721390 42.4763200, -76.4722200 42.4762290, -76.4723120 42.4761470, -76.4724128 42.4760661, -76.4724271 42.4760546, -76.4725860 42.4759270)",
