start_time,end_time,link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed,FFTT,time_period,inflow_volume,outflow_volume,CA,CD,density,queue_length_in_process,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed,geometry,notes
2024-01-01 07:00:00,2024-01-01 08:00:00,0,network_wide,residential,0,1,-1,,0,0.081,30.000,0.162,0700:00.000_0800:00.000,18.000,18.000,18.000,18.000,0.000,0.000,0.000,1000.000,0.162,0.000,30.000,"LINESTRING (-76.5185740 42.4487870, -76.5185362 42.4488168, -76.5185121 42.4488402, -76.5184630 42.4488880, -76.5184050 42.4489880, -76.5182550 42.4493360, -76.5182256 42.4493989, -76.5181830 42.4494900, -76.5181250 42.4495680, -76.5180900 42.4496000, -76.5180330 42.4496410, -76.5179756 42.4496777, -76.5178110 42.4497830)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,0,network_wide,residential,0,1,-1,,0,0.081,30.000,0.162,0800:00.000_0900:00.000,3.000,3.000,21.000,21.000,0.000,0.000,0.000,1000.000,0.162,0.000,30.000,"LINESTRING (-76.5185740 42.4487870, -76.5185362 42.4488168, -76.5185121 42.4488402, -76.5184630 42.4488880, -76.5184050 42.4489880, -76.5182550 42.4493360, -76.5182256 42.4493989, -76.5181830 42.4494900, -76.5181250 42.4495680, -76.5180900 42.4496000, -76.5180330 42.4496410, -76.5179756 42.4496777, -76.5178110 42.4497830)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,1,network_wide,residential,1,0,-1,,0,0.081,30.000,0.162,0700:00.000_0800:00.000,21.000,21.000,21.000,21.000,0.000,0.000,0.000,1000.000,0.162,0.000,30.000,"LINESTRING (-76.5178110 42.4497830, -76.5179756 42.4496777, -76.5180330 42.4496410, -76.5180900 42.4496000, -76.5181250 42.4495680, -76.5181830 42.4494900, -76.5182256 42.4493989, -76.5182550 42.4493360, -76.5184050 42.4489880, -76.5184630 42.4488880, -76.5185121 42.4488402, -76.5185362 42.4488168, -76.5185740 42.4487870)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,1,network_wide,residential,1,0,-1,,0,0.081,30.000,0.162,0800:00.000_0900:00.000,4.000,4.000,25.000,25.000,0.000,0.000,0.000,1000.000,0.162,0.000,30.000,"LINESTRING (-76.5178110 42.4497830, -76.5179756 42.4496777, -76.5180330 42.4496410, -76.5180900 42.4496000, -76.5181250 42.4495680, -76.5181830 42.4494900, -76.5182256 42.4493989, -76.5182550 42.4493360, -76.5184050 42.4489880, -76.5184630 42.4488880, -76.5185121 42.4488402, -76.5185362 42.4488168, -76.5185740 42.4487870)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,2,network_wide,unclassified,2,3,-1,,0,0.074,30.000,0.148,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5005138 42.4459622, -76.5012144 42.4468308, -76.5012600 42.4468844)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,2,network_wide,unclassified,2,3,-1,,0,0.074,30.000,0.148,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5005138 42.4459622, -76.5012144 42.4468308, -76.5012600 42.4468844)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,3,network_wide,unclassified,3,2,-1,,0,0.074,30.000,0.148,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5012600 42.4468844, -76.5012144 42.4468308, -76.5005138 42.4459622)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,3,network_wide,unclassified,3,2,-1,,0,0.074,30.000,0.148,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5012600 42.4468844, -76.5012144 42.4468308, -76.5005138 42.4459622)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,4,network_wide,unclassified,3,4,-1,,0,0.074,30.000,0.148,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5012600 42.4468844, -76.5012925 42.4469346, -76.5019573 42.4477572, -76.5019980 42.4478080)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,4,network_wide,unclassified,3,4,-1,,0,0.074,30.000,0.148,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5012600 42.4468844, -76.5012925 42.4469346, -76.5019573 42.4477572, -76.5019980 42.4478080)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,5,network_wide,unclassified,4,3,-1,,0,0.074,30.000,0.148,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5019980 42.4478080, -76.5019573 42.4477572, -76.5012925 42.4469346, -76.5012600 42.4468844)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,5,network_wide,unclassified,4,3,-1,,0,0.074,30.000,0.148,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,800.000,0.148,0.000,30.000,"LINESTRING (-76.5019980 42.4478080, -76.5019573 42.4477572, -76.5012925 42.4469346, -76.5012600 42.4468844)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,6,network_wide,residential,5,6,-1,,0,0.054,30.000,0.107,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.107,0.000,30.000,"LINESTRING (-76.4595374 42.4293598, -76.4594388 42.4294047, -76.4593818 42.4294483, -76.4593681 42.4294627, -76.4593244 42.4295086, -76.4592764 42.4295796, -76.4592462 42.4296401, -76.4591612 42.4298739, -76.4591452 42.4299575, -76.4591526 42.4300439)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,6,network_wide,residential,5,6,-1,,0,0.054,30.000,0.107,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.107,0.000,30.000,"LINESTRING (-76.4595374 42.4293598, -76.4594388 42.4294047, -76.4593818 42.4294483, -76.4593681 42.4294627, -76.4593244 42.4295086, -76.4592764 42.4295796, -76.4592462 42.4296401, -76.4591612 42.4298739, -76.4591452 42.4299575, -76.4591526 42.4300439)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,7,network_wide,residential,6,5,-1,,0,0.054,30.000,0.107,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.107,0.000,30.000,"LINESTRING (-76.4591526 42.4300439, -76.4591452 42.4299575, -76.4591612 42.4298739, -76.4592462 42.4296401, -76.4592764 42.4295796, -76.4593244 42.4295086, -76.4593681 42.4294627, -76.4593818 42.4294483, -76.4594388 42.4294047, -76.4595374 42.4293598)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,7,network_wide,residential,6,5,-1,,0,0.054,30.000,0.107,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.107,0.000,30.000,"LINESTRING (-76.4591526 42.4300439, -76.4591452 42.4299575, -76.4591612 42.4298739, -76.4592462 42.4296401, -76.4592764 42.4295796, -76.4593244 42.4295086, -76.4593681 42.4294627, -76.4593818 42.4294483, -76.4594388 42.4294047, -76.4595374 42.4293598)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,8,network_wide,residential,7,8,-1,,0,0.115,30.000,0.230,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.230,0.000,30.000,"LINESTRING (-76.5107630 42.4233737, -76.5105079 42.4234754, -76.5102596 42.4235941, -76.5099262 42.4237540, -76.5096029 42.4239212, -76.5092610 42.4241737, -76.5091236 42.4242553, -76.5090264 42.4242997, -76.5089305 42.4243034)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,8,network_wide,residential,7,8,-1,,0,0.115,30.000,0.230,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.230,0.000,30.000,"LINESTRING (-76.5107630 42.4233737, -76.5105079 42.4234754, -76.5102596 42.4235941, -76.5099262 42.4237540, -76.5096029 42.4239212, -76.5092610 42.4241737, -76.5091236 42.4242553, -76.5090264 42.4242997, -76.5089305 42.4243034)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,9,network_wide,residential,8,7,-1,,0,0.115,30.000,0.230,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.230,0.000,30.000,"LINESTRING (-76.5089305 42.4243034, -76.5090264 42.4242997, -76.5091236 42.4242553, -76.5092610 42.4241737, -76.5096029 42.4239212, -76.5099262 42.4237540, -76.5102596 42.4235941, -76.5105079 42.4234754, -76.5107630 42.4233737)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,9,network_wide,residential,8,7,-1,,0,0.115,30.000,0.230,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.230,0.000,30.000,"LINESTRING (-76.5089305 42.4243034, -76.5090264 42.4242997, -76.5091236 42.4242553, -76.5092610 42.4241737, -76.5096029 42.4239212, -76.5099262 42.4237540, -76.5102596 42.4235941, -76.5105079 42.4234754, -76.5107630 42.4233737)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,10,network_wide,residential,9,10,-1,,0,0.036,30.000,0.073,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.073,0.000,30.000,"LINESTRING (-76.4951253 42.4313923, -76.4951130 42.4310020, -76.4951080 42.4308640)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,10,network_wide,residential,9,10,-1,,0,0.036,30.000,0.073,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.073,0.000,30.000,"LINESTRING (-76.4951253 42.4313923, -76.4951130 42.4310020, -76.4951080 42.4308640)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,11,network_wide,residential,10,9,-1,,0,0.036,30.000,0.073,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.073,0.000,30.000,"LINESTRING (-76.4951080 42.4308640, -76.4951130 42.4310020, -76.4951253 42.4313923)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,11,network_wide,residential,10,9,-1,,0,0.036,30.000,0.073,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.073,0.000,30.000,"LINESTRING (-76.4951080 42.4308640, -76.4951130 42.4310020, -76.4951253 42.4313923)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,12,network_wide,tertiary,11,12,-1,,0,0.077,48.000,0.097,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2400.000,0.097,0.000,48.000,"LINESTRING (-76.5034531 42.4306824, -76.5034798 42.4307214, -76.5034898 42.4307691, -76.5034911 42.4307937, -76.5035514 42.4317984)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,12,network_wide,tertiary,11,12,-1,,0,0.077,48.000,0.097,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2400.000,0.097,0.000,48.000,"LINESTRING (-76.5034531 42.4306824, -76.5034798 42.4307214, -76.5034898 42.4307691, -76.5034911 42.4307937, -76.5035514 42.4317984)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,13,network_wide,tertiary,12,11,-1,,0,0.077,48.000,0.097,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2400.000,0.097,0.000,48.000,"LINESTRING (-76.5035514 42.4317984, -76.5034911 42.4307937, -76.5034898 42.4307691, -76.5034798 42.4307214, -76.5034531 42.4306824)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,13,network_wide,tertiary,12,11,-1,,0,0.077,48.000,0.097,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2400.000,0.097,0.000,48.000,"LINESTRING (-76.5035514 42.4317984, -76.5034911 42.4307937, -76.5034898 42.4307691, -76.5034798 42.4307214, -76.5034531 42.4306824)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,14,network_wide,residential,13,14,-1,,0,0.101,30.000,0.202,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.202,0.000,30.000,"LINESTRING (-76.5333820 42.4136480, -76.5335280 42.4138130, -76.5336780 42.4139950, -76.5343430 42.4147110, -76.5344170 42.4148050, -76.5344250 42.4148770)",simulation-based
2024-01-01 08:00:00,2024-01-01 09:00:00,14,network_wide,residential,13,14,-1,,0,0.101,30.000,0.202,0800:00.000_0900:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.202,0.000,30.000,"LINESTRING (-76.5333820 42.4136480, -76.5335280 42.4138130, -76.5336780 42.4139950, -76.5343430 42.4147110, -76.5344170 42.4148050, -76.5344250 42.4148770)",simulation-based
2024-01-01 07:00:00,2024-01-01 08:00:00,15,network_wide,residential,14,13,-1,,0,0.101,30.000,0.202,0700:00.000_0800:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1000.000,0.202,0.000,30.000,"LINESTRING (-76.5344250 42.4148770, -76.5344170 42.4148050, -76.5343430 42.4147110, -76.5336780 42.4139950, -76.5335280 42.4138130, -76.5333820 42.4136480)",simulation-based
