  33.48671,  -0.39799,   0.00032
  35.20100,  -0.22097,   0.00068
  36.05147,  -0.00726,   0.00112
  34.96836,   0.02244,   0.00126
  33.60520,  -0.00955,   0.00123
  32.04638,  -0.18428,   0.00110
  30.64082,  -0.31039,   0.00097
  29.41854,  -0.27710,   0.00100
  26.47658,  -0.23872,   0.00106
  26.37512,  -0.21940,   0.00118
  27.04025,  -0.25906,   0.00125
  27.27369,  -0.30026,   0.00123
  28.47831,  -0.30136,   0.00124
  29.10888,  -0.20883,   0.00131
  29.31523,  -0.14631,   0.00124
  28.51778,  -0.09517,   0.00120
  28.06709,  -0.18232,   0.00113
  28.81354,  -0.32439,   0.00098
  30.27797,  -0.37239,   0.00124
  32.10141,  -0.24123,   0.00168
  34.55387,   0.02466,   0.00244
  34.78686,   0.23429,   0.00265
  34.11586,   0.24546,   0.00246
  34.04063,   0.08153,   0.00207
  33.56852,  -0.10114,   0.00150
  33.66440,  -0.15261,   0.00109
  34.34620,  -0.18389,   0.00068
  34.74600,  -0.01187,   0.00077
  35.18751,   0.10292,   0.00098
  35.02281,   0.06789,   0.00088
  34.69535,   0.01626,   0.00099
  34.42918,   0.10754,   0.00129
  33.15097,   0.14152,   0.00142
  31.37630,   0.16548,   0.00147
  29.40906,   0.13384,   0.00153
  28.89735,  -0.00923,   0.00149
  29.04006,  -0.13404,   0.00147
  30.82727,  -0.15515,   0.00166
  32.53657,  -0.03859,   0.00193
  33.64604,   0.20316,   0.00219
  48.24878,   0.20926,   0.00213
  47.36465,   0.17112,   0.00177
  47.45066,  -0.00414,   0.00119
  47.40811,  -0.20832,   0.00081
  32.36992,  -0.14864,   0.00075
  33.08672,  -0.04747,   0.00079
  33.83207,   0.09248,   0.00089
  33.40748,   0.13926,   0.00097
  33.73292,   0.11387,   0.00090
  33.83223,  -0.04178,   0.00048
  33.52596,  -0.14573,   0.00005
  33.31201,  -0.11832,  -0.00008
  32.62243,  -0.14909,  -0.00046
  32.30139,  -0.14941,  -0.00049
  32.51544,  -0.22802,  -0.00038
  33.11295,  -0.28914,  -0.00039
  33.82302,  -0.16978,   0.00015
  33.64093,  -0.01696,   0.00055
  32.47032,   0.14820,   0.00081
  30.38765,   0.20508,   0.00096
  28.01989,   0.09274,   0.00063
  26.70360,  -0.17153,   0.00019
  26.66233,  -0.35570,  -0.00013
  27.54669,  -0.33575,  -0.00026
  29.42916,  -0.09446,  -0.00007
  30.72622,   0.15500,   0.00021
  31.05770,   0.17216,   0.00000
  30.59279,   0.08512,  -0.00018
  29.87640,  -0.06933,  -0.00043
  30.48760,  -0.06477,  -0.00041
  30.21892,  -0.01649,  -0.00029
  30.47824,   0.07886,  -0.00009
  30.71535,   0.11605,   0.00024
  31.96753,   0.03162,   0.00038
  33.66570,  -0.04117,   0.00046
  35.42120,   0.02683,   0.00083
  35.81550,   0.15497,   0.00082
  35.98276,   0.16740,   0.00055
  34.81915,   0.15631,   0.00017
  33.51309,  -0.01423,  -0.00029
  33.20674,  -0.29188,  -0.00111
  33.69627,  -0.40332,  -0.00116
  34.13529,  -0.23795,  -0.00081
  34.27533,   0.01810,  -0.00028
  33.08204,   0.16248,   0.00011
  30.54842,   0.18999,   0.00027
  28.44306,  -0.05804,  -0.00002
  26.89469,  -0.32049,  -0.00037
  26.20483,  -0.38188,  -0.00044
  26.47770,  -0.30822,  -0.00032
  26.89056,  -0.27450,  -0.00028
  28.13191,  -0.15631,   0.00008
  29.04413,  -0.13913,   0.00037
  30.22245,  -0.14645,   0.00044
  30.29518,  -0.07773,   0.00063
  29.85127,   0.06522,   0.00077
  29.94795,   0.16982,   0.00090
  28.84928,   0.13600,   0.00067
  28.51569,   0.00344,   0.00043
  29.36726,  -0.17913,   0.00025
  31.26659,  -0.18385,   0.00021
  33.14139,  -0.05194,   0.00053
  34.17229,   0.19013,   0.00057
  33.83824,   0.29358,   0.00039
  33.38657,   0.11457,  -0.00016
  32.51039,  -0.13900,  -0.00056
  32.05172,  -0.32738,  -0.00073
  32.60143,  -0.30771,  -0.00058
  33.32832,  -0.16761,  -0.00010
  33.86420,  -0.00314,   0.00055
  32.64673,   0.13049,   0.00123
  32.43355,   0.05533,   0.00151
  32.19977,  -0.07229,   0.00158
  31.53537,  -0.08651,   0.00176
  31.09189,  -0.09216,   0.00169
  30.71206,  -0.08238,   0.00157
  29.93343,  -0.24978,   0.00094
  30.85966,  -0.35793,   0.00084
  32.63452,  -0.40838,   0.00089
  33.93002,  -0.32612,   0.00089
  34.96358,  -0.12327,   0.00120
  34.74482,   0.04998,   0.00134
  33.68989,   0.09922,   0.00131
  32.21396,  -0.10727,   0.00094
  31.48766,  -0.39633,   0.00058
  32.03868,  -0.49898,   0.00062
  34.06764,  -0.46542,   0.00069
  36.37040,  -0.25111,   0.00096
  37.05305,  -0.14698,   0.00125
  37.48376,  -0.07911,   0.00130
  38.48251,  -0.18322,   0.00107
  37.80391,  -0.28357,   0.00086
  36.87830,  -0.30077,   0.00070
  36.67034,  -0.23175,   0.00056
  35.64999,  -0.12844,   0.00055
  34.82773,  -0.12963,   0.00062
  33.79080,  -0.16933,   0.00070
  33.74964,  -0.22730,   0.00079
  33.83782,  -0.18595,   0.00084
  32.95195,  -0.07402,   0.00094
  31.69382,   0.03450,   0.00072
  30.24375,   0.00484,   0.00038
  29.30617,  -0.24283,  -0.00026
  29.30796,  -0.42195,  -0.00045
  30.59510,  -0.43323,  -0.00034
  32.56493,  -0.24922,   0.00008
  33.70003,   0.03686,   0.00072
  33.85146,   0.21728,   0.00112
  33.28664,   0.26447,   0.00139
  32.44929,   0.08702,   0.00113
  32.11630,  -0.07738,   0.00078
  32.73392,  -0.09270,   0.00075
  33.51225,  -0.01485,   0.00050
  34.54502,   0.07614,   0.00033
  34.66888,  -0.01319,   0.00004
  35.77607,  -0.08033,  -0.00019
  36.81830,  -0.11282,  -0.00043
  37.92836,  -0.04812,  -0.00061
  37.20380,   0.06454,  -0.00079
  35.51787,   0.10536,  -0.00094
  33.63844,   0.03515,  -0.00117
  32.42491,  -0.19744,  -0.00132
  31.87194,  -0.24812,  -0.00117
  32.79228,  -0.26834,  -0.00090
  32.69141,  -0.06511,  -0.00020
  33.07616,   0.13374,   0.00021
  27.65137,   0.15385,   0.00047
  26.68187,   0.06129,   0.00030
  26.02622,  -0.10381,   0.00000
  26.40564,  -0.20596,  -0.00040
  26.96217,  -0.13874,  -0.00036
  27.78685,   0.05765,  -0.00005
  28.24221,   0.21593,   0.00018
  28.68917,   0.28665,   0.00047
  29.03287,   0.25180,   0.00053
  29.33566,   0.26479,   0.00049
  34.99422,   0.31613,   0.00019
  34.67983,   0.36046,  -0.00005
  34.25242,   0.38827,  -0.00031
  34.67931,   0.24930,  -0.00072
  36.18379,   0.13120,  -0.00087
  38.74175,   0.07951,  -0.00078
  41.55046,   0.21514,  -0.00050
  43.15492,   0.45078,   0.00006
  42.41255,   0.65155,   0.00041
  40.64305,   0.65339,   0.00048
  39.78239,   0.54687,   0.00030
  38.62321,   0.27227,   0.00008
  38.40178,   0.12176,   0.00005
  38.77010,   0.26330,   0.00041
  38.06143,   0.36101,   0.00067
  38.18397,   0.48563,   0.00087
  37.89218,   0.47292,   0.00079
  37.24091,   0.31326,   0.00023
  36.65786,   0.18708,  -0.00008
  36.25448,   0.13424,  -0.00048
  35.26656,   0.19484,  -0.00051
  34.56699,   0.24608,  -0.00044
  34.15285,   0.19511,  -0.00058
  34.68340,   0.12126,  -0.00036
  35.62684,   0.18299,   0.00013
  36.33491,   0.24837,   0.00044
  36.32802,   0.38940,   0.00095
  35.55867,   0.45777,   0.00079
  34.78522,   0.32615,   0.00043
  34.29073,   0.12221,  -0.00008
  34.80500,  -0.05552,  -0.00045
  36.51162,  -0.09499,  -0.00060
  37.85013,  -0.00044,  -0.00056
  38.58656,   0.27042,  -0.00034
  38.10235,   0.40483,  -0.00026
  36.52115,   0.29399,  -0.00049
  35.23672,   0.17685,  -0.00074
  33.66326,   0.00127,  -0.00106
  32.23205,   0.01457,  -0.00103
  31.41440,   0.05350,  -0.00106
  29.49478,   0.06515,  -0.00098
  29.96193,   0.04108,  -0.00077
  30.80746,  -0.03467,  -0.00060
  31.14031,  -0.04421,  -0.00040
  31.41991,   0.03762,  -0.00021
  31.07031,   0.13488,  -0.00003
  29.85771,   0.19512,   0.00012
  28.81455,   0.12127,   0.00011
  28.09277,  -0.04471,  -0.00012
  28.78085,  -0.17266,   0.00006
  29.43695,  -0.04563,   0.00059
  30.71658,   0.18544,   0.00100
  30.33290,   0.35150,   0.00136
  30.28231,   0.37295,   0.00120
  29.81019,   0.18179,   0.00066
  29.70690,  -0.08934,  -0.00009
  29.98118,  -0.27198,  -0.00069
  30.96702,  -0.27946,  -0.00100
  31.88977,  -0.18806,  -0.00109
  32.81022,  -0.01885,  -0.00071
  33.13677,  -0.00705,  -0.00033
  33.22661,  -0.08217,  -0.00011
  51.71097,   0.47613,   0.00226
  51.62218,   0.48170,   0.00233
  53.12243,   0.21323,   0.00243
  27.71940,   0.02652,   0.00053
  26.77711,  -0.07963,   0.00044
  26.71104,  -0.23868,   0.00048
  27.08426,  -0.35387,   0.00044
  28.10398,  -0.19933,   0.00071
  28.54812,   0.10328,   0.00103
  28.07787,   0.20303,   0.00081
  26.41155,   0.24747,   0.00068
  24.57267,   0.09325,   0.00038
  23.71705,  -0.06667,  -0.00003
  23.70234,  -0.14741,   0.00003
  24.53859,  -0.02179,   0.00040
  24.80538,   0.19503,   0.00103
  25.89735,   0.34553,   0.00142
  26.66777,   0.32583,   0.00151
  27.83292,   0.20524,   0.00159
  28.53075,   0.14246,   0.00135
  28.81241,   0.21653,   0.00120
  30.23691,   0.22158,   0.00109
  30.44059,   0.30819,   0.00110
  31.01733,   0.27934,   0.00118
  32.20989,   0.17818,   0.00116
  33.50792,   0.19324,   0.00136
  33.95875,   0.39768,   0.00183
  33.21528,   0.54652,   0.00189
  31.28721,   0.56125,   0.00166
  28.44855,   0.40993,   0.00123
  26.94501,   0.08242,   0.00072
  27.02846,  -0.18491,   0.00037
  27.52351,  -0.23290,   0.00020
  29.08914,  -0.05226,   0.00053
  30.06045,   0.19234,   0.00098
  29.35694,   0.25224,   0.00103
  28.59062,   0.18488,   0.00115
  27.50676,   0.00820,   0.00115
  26.93224,  -0.03547,   0.00129
  26.41399,  -0.05746,   0.00148
  26.37503,   0.03463,   0.00168
  26.17295,   0.10881,   0.00190
  27.01842,   0.09154,   0.00202
  28.63903,   0.02659,   0.00202
  30.47089,   0.02133,   0.00203
  31.65351,   0.14362,   0.00188
  31.68988,   0.30414,   0.00161
  31.65992,   0.25787,   0.00106
  30.37613,   0.16982,   0.00062
  30.58642,  -0.00995,  -0.00000
  31.42697,  -0.13737,  -0.00008
  32.76866,  -0.05785,   0.00023
  33.52450,   0.21615,   0.00099
  32.85584,   0.40265,   0.00138
  31.32429,   0.39602,   0.00149
  29.75807,   0.23326,   0.00145
  29.16146,   0.01382,   0.00122
  28.82317,  -0.10471,   0.00111
  29.05500,  -0.02046,   0.00126
  29.62401,   0.02318,   0.00119
  30.20062,   0.15787,   0.00149
  30.46484,   0.17646,   0.00174
  30.08768,   0.10551,   0.00163
  30.16156,   0.13427,   0.00178
  29.03736,   0.19835,   0.00185
  27.34311,   0.26634,   0.00181
  25.22799,   0.22843,   0.00162
  24.12474,   0.08153,   0.00132
  24.69536,  -0.11971,   0.00105
  24.14237,  -0.15543,   0.00121
  26.32341,  -0.02642,   0.00131
  27.62270,   0.20556,   0.00149
  27.88436,   0.25622,   0.00156
  27.07483,   0.21776,   0.00135
  26.30445,   0.01981,   0.00098
  26.75287,  -0.15016,   0.00071
  27.06220,  -0.20401,   0.00078
  27.53668,  -0.06979,   0.00113
  27.12100,   0.14537,   0.00175
  26.99975,   0.23142,   0.00201
  26.61487,   0.16233,   0.00203
  27.92384,   0.09271,   0.00197
  27.23319,   0.00535,   0.00166
  26.11648,  -0.00465,   0.00136
  24.64071,  -0.07036,   0.00085
  23.80306,  -0.06984,   0.00066
  23.81588,  -0.14164,   0.00059
  24.39167,  -0.19361,   0.00041
  25.50976,  -0.14554,   0.00080
  25.99243,   0.01394,   0.00135
  25.27757,   0.25456,   0.00205
  23.92069,   0.29652,   0.00227
  22.61867,   0.16499,   0.00224
  44.58195,   0.58069,   0.00037
  45.12826,   0.52840,   0.00034
  46.01733,   0.53303,   0.00038
  46.76791,   0.58334,   0.00048
  47.18164,   0.65164,   0.00060
  30.46599,   0.34050,   0.00318
  30.86832,   0.29609,   0.00300
  31.09220,   0.18078,   0.00269
  31.90618,   0.10081,   0.00236
  31.68606,   0.11530,   0.00227
  31.12182,   0.17207,   0.00234
  30.87588,   0.17374,   0.00244
  31.05721,   0.09933,   0.00252
  31.05465,   0.09000,   0.00273
  31.99608,   0.04863,   0.00278
  32.14238,   0.09186,   0.00285
  31.14891,   0.15165,   0.00296
  29.57288,   0.07255,   0.00261
  28.46486,  -0.07718,   0.00243
  28.47422,  -0.26231,   0.00233
  29.41887,  -0.31905,   0.00215
  30.75365,  -0.20080,   0.00261
  31.45011,   0.05002,   0.00323
  30.70542,   0.23582,   0.00369
  29.22290,   0.26731,   0.00383
  28.03365,   0.11849,   0.00352
  27.48197,  -0.00597,   0.00317
  27.43292,  -0.09187,   0.00279
  50.43562,   0.54092,   0.00319
  50.48899,   0.59552,   0.00308
  52.81720,   0.33456,   0.00304
  53.29161,   0.34841,   0.00304
  53.91077,   0.34338,   0.00304
  54.47793,   0.35244,   0.00301
  54.36840,   0.38686,   0.00299
  32.51644,   0.22831,   0.00198
  31.01876,   0.17612,   0.00185
  30.53725,   0.01438,   0.00171
  30.95664,  -0.04365,   0.00191
  32.20657,  -0.07906,   0.00199
  33.59568,   0.05937,   0.00221
  33.56813,   0.21978,   0.00268
  33.20806,   0.35082,   0.00257
  32.16587,   0.27312,   0.00216
  30.88264,   0.01954,   0.00142
  30.29156,  -0.18013,   0.00101
  30.18231,  -0.22381,   0.00089
  30.24311,  -0.09148,   0.00088
  29.33052,   0.09394,   0.00111
  29.37134,   0.16587,   0.00145
  29.35166,   0.09111,   0.00159
  28.36781,   0.08917,   0.00183
  28.04464,  -0.01216,   0.00168
  27.22248,  -0.05485,   0.00157
  27.05637,  -0.06149,   0.00162
  27.39221,  -0.07762,   0.00148
  28.87132,  -0.16952,   0.00140
  30.74845,  -0.29047,   0.00123
  33.20531,  -0.22950,   0.00145
  34.67974,   0.01401,   0.00179
  35.41792,   0.26259,   0.00207
  34.66739,   0.38357,   0.00205
  32.81513,   0.23721,   0.00163
  31.48090,  -0.06441,   0.00113
  31.70380,  -0.17615,   0.00099
  32.77162,  -0.17057,   0.00091
  33.01480,  -0.04574,   0.00115
  33.52127,   0.18587,   0.00128
  33.41150,   0.25670,   0.00126
  33.07248,   0.10304,   0.00089
  31.96037,  -0.06416,   0.00071
  32.21066,  -0.10884,   0.00059
  30.83420,  -0.04462,   0.00088
  30.14662,   0.08828,   0.00129
  30.21374,   0.18535,   0.00150
  30.89260,   0.16420,   0.00202
  31.99083,   0.11458,   0.00250
  32.85968,   0.23969,   0.00307
  33.33451,   0.38928,   0.00348
  33.14663,   0.43124,   0.00350
  32.18860,   0.43736,   0.00318
  31.90390,   0.22182,   0.00254
  32.65576,   0.03316,   0.00218
  34.89400,  -0.04931,   0.00184
  37.56603,   0.09733,   0.00188
  49.67428,   0.23958,   0.00215
  39.64799,   0.54084,   0.00232
  38.58747,   0.50149,   0.00222
  37.25564,   0.27248,   0.00192
  37.62293,   0.14948,   0.00200
  37.00746,  -0.01235,   0.00185
  36.79202,  -0.01758,   0.00183
  36.87531,   0.03858,   0.00216
  37.11664,   0.03443,   0.00227
  37.73517,  -0.00833,   0.00231
  38.17537,  -0.07397,   0.00242
  38.58444,  -0.05061,   0.00248
  37.36492,   0.03137,   0.00252
  35.69524,   0.04096,   0.00226
  33.65919,  -0.01410,   0.00208
  32.31273,  -0.19683,   0.00193
  31.12972,  -0.27863,   0.00182
  31.82904,  -0.30571,   0.00202
  32.81240,  -0.15059,   0.00236
  32.16106,   0.03187,   0.00275
  31.62649,   0.12465,   0.00270
  30.64173,   0.00938,   0.00240
  30.12489,  -0.26908,   0.00197
  30.21788,  -0.46959,   0.00175
  31.21591,  -0.48011,   0.00183
  33.01248,  -0.25923,   0.00192
  34.17841,  -0.06612,   0.00237
  34.90207,   0.02800,   0.00274
  35.63914,   0.04362,   0.00304
  35.99253,  -0.03699,   0.00303
  35.94900,  -0.06641,   0.00294
  35.64627,  -0.03172,   0.00308
  34.57686,  -0.01081,   0.00289
  33.79052,  -0.08547,   0.00266
  33.37090,  -0.27896,   0.00227
  34.72320,  -0.37843,   0.00214
  36.36192,  -0.33896,   0.00212
  54.56973,   0.19609,   0.00293
  54.20396,   0.25989,   0.00303
  53.38844,   0.28065,   0.00310
  32.72575,  -0.16316,   0.00204
  30.85589,  -0.45422,   0.00198
  30.08224,  -0.67108,   0.00214
  29.98145,  -0.56282,   0.00264
  29.75569,  -0.39680,   0.00322
  30.72625,  -0.19103,   0.00363
  31.01465,  -0.13562,   0.00379
  30.31152,  -0.27111,   0.00369
  31.06520,  -0.44897,   0.00337
  31.13219,  -0.48251,   0.00307
