o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,geometry
0,A0,0,A0,0.0,"LINESTRING (-76.62329244499999 42.52129703999999, -76.62329244499999 42.52129703999999)"
0,A0,1,A1,2.235292642213062,"LINESTRING (-76.62329244499999 42.52129703999999, -76.59601733500001 42.52129704)"
0,A0,2,A2,4.470585226208385,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.52129703999999)"
0,A0,3,A3,6.705877693768197,"LINESTRING (-76.62329244499999 42.52129703999999, -76.54146711499999 42.52129704)"
0,A0,4,A4,8.941169988690667,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.52129703999999)"
0,A0,5,A5,11.176462051548262,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.52129703999999)"
0,A0,6,A6,13.411753825735726,"LINESTRING (-76.62329244499999 42.52129703999999, -76.459641785 42.52129704)"
0,A0,7,A7,15.647045251998039,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.52129703999999)"
0,A0,8,A8,17.8823362741184,"LINESTRING (-76.62329244499999 42.52129703999999, -76.405091565 42.52129704)"
0,A0,9,A9,20.11762683319817,"LINESTRING (-76.62329244499999 42.52129703999999, -76.377816455 42.52129703999999)"
0,A0,10,B0,1.7963673822786994,"LINESTRING (-76.62329244499999 42.52129703999999, -76.62329244499999 42.50514192)"
0,A0,11,B1,2.867884367512075,"LINESTRING (-76.62329244499999 42.52129703999999, -76.59601733500001 42.50514192)"
0,A0,12,B2,4.81853039267362,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.50514192)"
0,A0,13,B3,6.943151836780439,"LINESTRING (-76.62329244499999 42.52129703999999, -76.54146711499999 42.50514192)"
0,A0,14,B4,9.120971713789718,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.50514192)"
0,A0,15,B5,11.32133093934205,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.50514192)"
0,A0,16,B6,13.533239837664746,"LINESTRING (-76.62329244499999 42.52129703999999, -76.459641785 42.50514192)"
0,A0,17,B7,15.751833483354172,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.50514192)"
0,A0,18,B8,17.97463658269651,"LINESTRING (-76.62329244499999 42.52129703999999, -76.405091565 42.50514192)"
0,A0,19,B9,20.20025938730946,"LINESTRING (-76.62329244499999 42.52129703999999, -76.377816455 42.50514192)"
0,A0,20,C0,3.5927347676491417,"LINESTRING (-76.62329244499999 42.52129703999999, -76.62329244499999 42.4889868)"
0,A0,21,C1,4.2316497488459115,"LINESTRING (-76.62329244499999 42.52129703999999, -76.596017335 42.4889868)"
0,A0,22,C2,5.7362190104377335,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.4889868)"
0,A0,23,C3,7.60919104671468,"LINESTRING (-76.62329244499999 42.52129703999999, -76.541467115 42.4889868)"
0,A0,24,C4,9.638132420989288,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.4889868)"
0,A0,25,C5,11.742471180879154,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.4889868)"
0,A0,26,C6,13.887976179708025,"LINESTRING (-76.62329244499999 42.52129703999999, -76.45964178499999 42.4889868)"
0,A0,27,C7,16.05815523803088,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.4889868)"
