o_zone_id,o_zone_name,d_zone_id,d_zone_name,dist_km,volume,geometry
0,A0,7,A7,15.647045251998039,5.1436884508600835,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.52129703999999)"
0,A0,12,B2,4.81853039267362,19.950097080795977,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.50514192)"
0,A0,15,B5,11.32133093934205,4.406840393446804,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.50514192)"
0,A0,22,C2,5.7362190104377335,8.87931578657437,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.4889868)"
0,A0,23,C3,7.60919104671468,7.01252482465736,"LINESTRING (-76.62329244499999 42.52129703999999, -76.541467115 42.4889868)"
0,A0,24,C4,9.638132420989288,43.503968059383126,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.4889868)"
0,A0,25,C5,11.742471180879154,75.26377955678839,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.4889868)"
0,A0,26,C6,13.887976179708025,16.003569969080726,"LINESTRING (-76.62329244499999 42.52129703999999, -76.45964178499999 42.4889868)"
0,A0,32,D2,7.003145894059794,15.135583478061148,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.47283168)"
0,A0,33,D3,8.605003690801373,24.755494810617446,"LINESTRING (-76.62329244499999 42.52129703999999, -76.54146711499999 42.472831680000006)"
0,A0,34,D4,10.442649828715325,19.67100869216621,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.47283168)"
0,A0,35,D5,12.411792359076045,42.31270176998589,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.47283168)"
0,A0,36,D6,14.458805145566842,41.73807041997971,"LINESTRING (-76.62329244499999 42.52129703999999, -76.459641785 42.472831680000006)"
0,A0,37,D7,16.554827083534903,13.78522863855475,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.47283168)"
0,A0,40,E0,7.185469533691986,7.396163922647858,"LINESTRING (-76.62329244499999 42.52129703999999, -76.62329244499999 42.456676560000005)"
0,A0,42,E2,8.463909662903612,6.299298855130822,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.456676560000005)"
0,A0,43,E3,9.830882859911691,26.54241959876585,"LINESTRING (-76.62329244499999 42.52129703999999, -76.54146711499999 42.456676560000005)"
0,A0,44,E4,11.47423817219355,60.5300172029575,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.456676560000005)"
0,A0,45,E5,13.291855198869126,68.94482188853182,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.456676560000005)"
0,A0,46,E6,15.221434628063093,13.557810582094683,"LINESTRING (-76.62329244499999 42.52129703999999, -76.459641785 42.456676560000005)"
0,A0,47,E7,17.22539138784433,23.253598360767263,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.456676560000005)"
0,A0,49,E9,21.37213816398224,1.2638981189735838,"LINESTRING (-76.62329244499999 42.52129703999999, -76.377816455 42.456676560000005)"
0,A0,53,F3,11.21161434783012,17.87033791386428,"LINESTRING (-76.62329244499999 42.52129703999999, -76.54146711499999 42.44052144)"
0,A0,54,F4,12.677587118163983,74.42618226921385,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.44052144)"
0,A0,55,F5,14.343922218461223,111.89538815058265,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.44052144)"
0,A0,56,F6,16.148713882036176,21.74777402405355,"LINESTRING (-76.62329244499999 42.52129703999999, -76.459641785 42.44052144)"
0,A0,57,F7,18.050478545845632,7.632668354692851,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.44052144)"
0,A0,60,G0,10.778204299866964,9.43185678459239,"LINESTRING (-76.62329244499999 42.52129703999999, -76.62329244499999 42.424366320000004)"
0,A0,63,G3,12.69677927325346,3.712422502332624,"LINESTRING (-76.62329244499999 42.52129703999999, -76.54146711499999 42.42436632)"
0,A0,64,G4,14.008502988103682,25.224552633964407,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.424366320000004)"
0,A0,65,G5,15.533082743703451,52.1705991022816,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.424366320000004)"
0,A0,66,G6,17.214055593184,29.637172877631624,"LINESTRING (-76.62329244499999 42.52129703999999, -76.459641785 42.42436632)"
0,A0,67,G7,19.009979000258554,8.469967412971611,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.424366320000004)"
0,A0,72,H2,13.346989655114898,3.4236591364601177,"LINESTRING (-76.62329244499999 42.52129703999999, -76.568742225 42.408211200000004)"
0,A0,73,H3,14.253770753874681,27.524755282492745,"LINESTRING (-76.62329244499999 42.52129703999999, -76.541467115 42.408211200000004)"
0,A0,74,H4,15.434019699840654,21.126772660691223,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.408211200000004)"
0,A0,75,H5,16.83030241501093,11.10130359923132,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.408211200000004)"
0,A0,76,H6,18.39348585543835,10.971886456088889,"LINESTRING (-76.62329244499999 42.52129703999999, -76.45964178499999 42.408211200000004)"
0,A0,77,H7,20.08463806027244,1.4826126871739838,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.408211200000004)"
0,A0,83,I3,15.861450963726341,2.504224596868588,"LINESTRING (-76.62329244499999 42.52129703999999, -76.54146711499999 42.39205608000001)"
0,A0,84,I4,16.93025810614754,2.192871015089768,"LINESTRING (-76.62329244499999 42.52129703999999, -76.514192005 42.39205608000001)"
0,A0,85,I5,18.212505708115753,3.74036146707554,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.39205608000001)"
0,A0,86,I6,19.666489159910245,3.123037663436687,"LINESTRING (-76.62329244499999 42.52129703999999, -76.459641785 42.39205608000001)"
0,A0,87,I7,21.2569971779433,1.28206373384997,"LINESTRING (-76.62329244499999 42.52129703999999, -76.432366675 42.39205608000001)"
0,A0,89,I9,24.74023588449288,0.8327663362424207,"LINESTRING (-76.62329244499999 42.52129703999999, -76.377816455 42.39205608000001)"
0,A0,95,J5,19.661777994050695,3.1248628782961236,"LINESTRING (-76.62329244499999 42.52129703999999, -76.486916895 42.37590096)"
7,A7,0,A0,15.647045251998039,3.0913950353809487,"LINESTRING (-76.432366675 42.52129703999999, -76.62329244499999 42.52129703999999)"
7,A7,12,B2,11.32133093934205,10.594175478679862,"LINESTRING (-76.432366675 42.52129703999999, -76.568742225 42.50514192)"
7,A7,15,B5,4.81853039267362,11.990156802873258,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.50514192)"
7,A7,22,C2,11.742471180879154,5.026010176002024,"LINESTRING (-76.432366675 42.52129703999999, -76.568742225 42.4889868)"
7,A7,23,C3,9.638132420989288,6.5365521338904395,"LINESTRING (-76.432366675 42.52129703999999, -76.541467115 42.4889868)"
7,A7,24,C4,7.60919104671468,67.43327364566656,"LINESTRING (-76.432366675 42.52129703999999, -76.514192005 42.4889868)"
7,A7,25,C5,5.7362190104377335,192.11525505239527,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.4889868)"
7,A7,26,C6,4.2316497488459115,64.60603448377739,"LINESTRING (-76.432366675 42.52129703999999, -76.45964178499999 42.4889868)"
7,A7,32,D2,12.411792359076045,9.24736313851109,"LINESTRING (-76.432366675 42.52129703999999, -76.568742225 42.47283168)"
7,A7,33,D3,10.442649828715325,23.64484520897833,"LINESTRING (-76.432366675 42.52129703999999, -76.54146711499999 42.472831680000006)"
7,A7,34,D4,8.605003690801373,29.756473195084393,"LINESTRING (-76.432366675 42.52129703999999, -76.514192005 42.47283168)"
7,A7,35,D5,7.003145894059794,100.06258130823056,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.47283168)"
7,A7,36,D6,5.834623357030351,147.5750894322341,"LINESTRING (-76.432366675 42.52129703999999, -76.459641785 42.472831680000006)"
7,A7,37,D7,5.389102150004892,66.91525671191637,"LINESTRING (-76.432366675 42.52129703999999, -76.432366675 42.47283168)"
7,A7,40,E0,17.22539138784433,2.5410155736218405,"LINESTRING (-76.432366675 42.52129703999999, -76.62329244499999 42.456676560000005)"
7,A7,42,E2,13.291855198869126,4.143635100329459,"LINESTRING (-76.432366675 42.52129703999999, -76.568742225 42.456676560000005)"
7,A7,43,E3,11.47423817219355,25.984993406469584,"LINESTRING (-76.432366675 42.52129703999999, -76.54146711499999 42.456676560000005)"
7,A7,44,E4,9.830882859911691,89.3322734780047,"LINESTRING (-76.432366675 42.52129703999999, -76.514192005 42.456676560000005)"
7,A7,45,E5,8.463909662903612,151.4370195098119,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.456676560000005)"
7,A7,46,E6,7.525468167494679,42.591475690567755,"LINESTRING (-76.432366675 42.52129703999999, -76.459641785 42.456676560000005)"
7,A7,47,E7,7.185469533691986,97.7932902225658,"LINESTRING (-76.432366675 42.52129703999999, -76.432366675 42.456676560000005)"
7,A7,49,E9,8.463909662903612,7.571850975490596,"LINESTRING (-76.432366675 42.52129703999999, -76.377816455 42.456676560000005)"
7,A7,53,F3,12.677587118163983,17.892275752504656,"LINESTRING (-76.432366675 42.52129703999999, -76.54146711499999 42.44052144)"
7,A7,54,F4,11.21161434783012,107.40206067158383,"LINESTRING (-76.432366675 42.52129703999999, -76.514192005 42.44052144)"
7,A7,55,F5,10.034209070044117,230.16693696079355,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.44052144)"
7,A7,56,F6,9.256153836556118,61.708800100245355,"LINESTRING (-76.432366675 42.52129703999999, -76.459641785 42.44052144)"
7,A7,57,F7,8.981836916534107,28.384380082349754,"LINESTRING (-76.432366675 42.52129703999999, -76.432366675 42.44052144)"
7,A7,60,G0,19.009979000258554,4.0724107551141575,"LINESTRING (-76.432366675 42.52129703999999, -76.62329244499999 42.424366320000004)"
7,A7,63,G3,14.008502988103682,3.790035959959045,"LINESTRING (-76.432366675 42.52129703999999, -76.54146711499999 42.42436632)"
7,A7,64,G4,12.69677927325346,35.69909679433584,"LINESTRING (-76.432366675 42.52129703999999, -76.514192005 42.424366320000004)"
7,A7,65,G5,11.669910325670063,101.43393430252459,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.424366320000004)"
7,A7,66,G6,11.007904788342096,77.11728406981933,"LINESTRING (-76.432366675 42.52129703999999, -76.459641785 42.42436632)"
7,A7,67,G7,10.778204299866964,28.343080570361483,"LINESTRING (-76.432366675 42.52129703999999, -76.432366675 42.424366320000004)"
7,A7,72,H2,16.83030241501093,2.668786429098902,"LINESTRING (-76.432366675 42.52129703999999, -76.568742225 42.408211200000004)"
7,A7,73,H3,15.434019699840654,28.569032060721828,"LINESTRING (-76.432366675 42.52129703999999, -76.541467115 42.408211200000004)"
7,A7,74,H4,14.253770753874681,29.409035997166367,"LINESTRING (-76.432366675 42.52129703999999, -76.514192005 42.408211200000004)"
7,A7,75,H5,13.346989655114898,20.57644617943314,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.408211200000004)"
7,A7,76,H6,12.772056338655132,26.524425105693094,"LINESTRING (-76.432366675 42.52129703999999, -76.45964178499999 42.408211200000004)"
7,A7,77,H7,12.574571683162732,4.530846623398974,"LINESTRING (-76.432366675 42.52129703999999, -76.432366675 42.408211200000004)"
7,A7,83,I3,16.93025810614754,2.6358635963442762,"LINESTRING (-76.432366675 42.52129703999999, -76.54146711499999 42.39205608000001)"
7,A7,84,I4,15.861450963726341,3.010115235476183,"LINESTRING (-76.432366675 42.52129703999999, -76.514192005 42.39205608000001)"
7,A7,85,I5,15.051622144999842,6.657756767214675,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.39205608000001)"
7,A7,86,I6,14.54409672946953,7.091481278825306,"LINESTRING (-76.432366675 42.52129703999999, -76.459641785 42.39205608000001)"
7,A7,87,I7,14.370939066449045,3.6229369121838153,"LINESTRING (-76.432366675 42.52129703999999, -76.432366675 42.39205608000001)"
7,A7,89,I9,15.051622144999842,3.3288783836073375,"LINESTRING (-76.432366675 42.52129703999999, -76.377816455 42.39205608000001)"
7,A7,95,J5,16.775410458307146,5.374083650762565,"LINESTRING (-76.432366675 42.52129703999999, -76.486916895 42.37590096)"
12,B2,0,A0,4.81853039267362,11.705464716120234,"LINESTRING (-76.568742225 42.50514192, -76.62329244499999 42.52129703999999)"
12,B2,7,A7,11.32133093934205,10.342629316770594,"LINESTRING (-76.568742225 42.50514192, -76.432366675 42.52129703999999)"
12,B2,15,B5,6.707611308758545,9.217311231483018,"LINESTRING (-76.568742225 42.50514192, -76.486916895 42.50514192)"
12,B2,22,C2,1.7963673847872927,17.314008297611245,"LINESTRING (-76.568742225 42.50514192, -76.568742225 42.4889868)"
12,B2,23,C3,2.868334787880113,15.033854259043089,"LINESTRING (-76.568742225 42.50514192, -76.541467115 42.4889868)"
12,B2,24,C4,4.81960267454328,93.63095113669354,"LINESTRING (-76.568742225 42.50514192, -76.514192005 42.4889868)"
12,B2,25,C5,6.944826181821709,161.02870146409302,"LINESTRING (-76.568742225 42.50514192, -76.486916895 42.4889868)"
12,B2,26,C6,9.123237591955258,34.03017443127412,"LINESTRING (-76.568742225 42.50514192, -76.45964178499999 42.4889868)"
12,B2,32,D2,3.592734765140548,27.380934532750107,"LINESTRING (-76.568742225 42.50514192, -76.568742225 42.47283168)"
12,B2,33,D3,4.231955011200661,50.455665204983525,"LINESTRING (-76.568742225 42.50514192, -76.54146711499999 42.472831680000006)"
12,B2,34,D4,5.737119753856893,41.67385300562012,"LINESTRING (-76.568742225 42.50514192, -76.514192005 42.47283168)"
12,B2,35,D5,7.610718827853475,90.50183483739129,"LINESTRING (-76.568742225 42.50514192, -76.486916895 42.47283168)"
12,B2,36,D6,9.640276691788241,89.31493514839521,"LINESTRING (-76.568742225 42.50514192, -76.459641785 42.472831680000006)"
12,B2,37,D7,11.745221167351707,29.429946876350602,"LINESTRING (-76.568742225 42.50514192, -76.432366675 42.47283168)"
12,B2,40,E0,7.00388368601239,8.879785763310084,"LINESTRING (-76.568742225 42.50514192, -76.62329244499999 42.456676560000005)"
12,B2,42,E2,5.389102150004892,10.887738852363814,"LINESTRING (-76.568742225 42.50514192, -76.568742225 42.456676560000005)"
12,B2,43,E3,5.834844753155859,51.45252177139162,"LINESTRING (-76.568742225 42.50514192, -76.54146711499999 42.456676560000005)"
12,B2,44,E4,7.00388368601239,124.31700068634116,"LINESTRING (-76.568742225 42.50514192, -76.514192005 42.456676560000005)"
12,B2,45,E5,8.606354666389624,145.22511462565035,"LINESTRING (-76.568742225 42.50514192, -76.486916895 42.456676560000005)"
12,B2,46,E6,10.444628885229559,28.847150620615,"LINESTRING (-76.568742225 42.50514192, -76.459641785 42.456676560000005)"
12,B2,47,E7,12.41439401630459,49.63678029528788,"LINESTRING (-76.568742225 42.50514192, -76.432366675 42.456676560000005)"
12,B2,49,E9,16.55865014638181,2.6948223392435176,"LINESTRING (-76.568742225 42.50514192, -76.377816455 42.456676560000005)"
12,B2,53,F3,7.525639815598889,33.263435731840595,"LINESTRING (-76.568742225 42.50514192, -76.54146711499999 42.44052144)"
12,B2,54,F4,8.464520116054256,147.83001306567436,"LINESTRING (-76.568742225 42.50514192, -76.514192005 42.44052144)"
12,B2,55,F5,9.832065366170195,230.4526256509039,"LINESTRING (-76.568742225 42.50514192, -76.486916895 42.44052144)"
12,B2,56,F6,11.476039286862651,45.652160760133235,"LINESTRING (-76.568742225 42.50514192, -76.459641785 42.44052144)"
12,B2,57,F7,13.294284571412376,16.176104057618144,"LINESTRING (-76.568742225 42.50514192, -76.432366675 42.44052144)"
12,B2,60,G0,10.034723982975988,12.145266696927145,"LINESTRING (-76.568742225 42.50514192, -76.62329244499999 42.424366320000004)"
12,B2,63,G3,9.256293387601932,6.693616158949522,"LINESTRING (-76.568742225 42.50514192, -76.54146711499999 42.42436632)"
12,B2,64,G4,10.034723982975988,48.58106678770858,"LINESTRING (-76.568742225 42.50514192, -76.514192005 42.424366320000004)"
12,B2,65,G5,11.212651214219717,104.83836052160198,"LINESTRING (-76.568742225 42.50514192, -76.486916895 42.424366320000004)"
12,B2,66,G6,12.679217255277424,61.12364276996816,"LINESTRING (-76.568742225 42.50514192, -76.459641785 42.42436632)"
12,B2,67,G7,14.34617338005858,17.7391372437049,"LINESTRING (-76.568742225 42.50514192, -76.432366675 42.424366320000004)"
12,B2,72,H2,10.778204299866964,5.534021531445125,"LINESTRING (-76.568742225 42.50514192, -76.568742225 42.408211200000004)"
12,B2,73,H3,11.00802212965053,48.39757891470478,"LINESTRING (-76.568742225 42.50514192, -76.541467115 42.408211200000004)"
12,B2,74,H4,11.670353058562066,39.60801520628337,"LINESTRING (-76.568742225 42.50514192, -76.514192005 42.408211200000004)"
12,B2,75,H5,12.697694842276194,21.77968071730187,"LINESTRING (-76.568742225 42.50514192, -76.486916895 42.408211200000004)"
12,B2,76,H6,14.00997822968152,22.196201515599974,"LINESTRING (-76.568742225 42.50514192, -76.45964178499999 42.408211200000004)"
12,B2,77,H7,15.535161536634623,3.060252511514233,"LINESTRING (-76.568742225 42.50514192, -76.432366675 42.408211200000004)"
12,B2,83,I3,12.772157469072413,4.315717968614781,"LINESTRING (-76.568742225 42.50514192, -76.54146711499999 42.39205608000001)"
