name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,16,90849031,,yes,,,,"POLYGON ((-76.533853 42.4645289, -76.5338804 42.4644199, -76.5336338 42.4643861, -76.5336252 42.4644204, -76.5335683 42.4644126, -76.5335567 42.4644589, -76.5336122 42.4644665, -76.5336051 42.464495, -76.533853 42.4645289))",POINT (-76.5337296 42.464456),279.1,3004.4
,17,90849032,,yes,,,,"POLYGON ((-76.5364572 42.4665935, -76.5363407 42.4668424, -76.5361504 42.4667939, -76.5362323 42.4666189, -76.5361352 42.4665942, -76.5361447 42.4665739, -76.5359788 42.4665315, -76.5360186 42.4664513, -76.5363569 42.4665376, -76.5363442 42.4665646, -76.5364572 42.4665935))",POINT (-76.5362502 42.4666374),741.8,7984.1
,18,90849033,,hospital,,,,"POLYGON ((-76.5375878 42.4695484, -76.5375021 42.4695651, -76.537644 42.4699247, -76.5374876 42.4699572, -76.5375252 42.4700634, -76.5374387 42.4700815, -76.5374058 42.4699926, -76.5374409 42.4699858, -76.5374334 42.4699669, -76.537372 42.4699799, -76.5372174 42.4695851, -76.5373176 42.4695631, -76.5372462 42.4693587, -76.536825 42.4694418, -76.5368069 42.4694024, -76.536784 42.4694071, -76.5367885 42.4694176, -76.53672 42.4694299, -76.5367296 42.4694672, -76.5364843 42.4695156, -76.5363922 42.4692841, -76.5364189 42.4692787, -76.536403 42.469235, -76.5364971 42.468969, -76.5364716 42.4689647, -76.5365288 42.4687451, -76.536621 42.468765, -76.5366175 42.4687744, -76.5366546 42.4687801, -76.5366684 42.4687418, -76.5369295 42.4687901, -76.536925 42.4687787, -76.5369153 42.4687806, -76.5368955 42.4687769, -76.5368797 42.4687393, -76.5369695 42.4687221, -76.5369863 42.4687659, -76.5369615 42.4687709, -76.5369715 42.4688002, -76.5370566 42.4688185, -76.5370413 42.4688522, -76.5370615 42.4688567, -76.537065 42.4688496, -76.5371195 42.4688603, -76.537081 42.4687848, -76.5370656 42.4687657, -76.5370636 42.4687452, -76.5370711 42.4687313, -76.5370931 42.468716, -76.5371127 42.4687154, -76.5373763 42.4687635, -76.5373037 42.4685745, -76.5373331 42.4685689, -76.5373223 42.4685356, -76.5373187 42.4685234, -76.5373254 42.4685133, -76.5373429 42.4685091, -76.5373574 42.4685129, -76.5373672 42.4685248, -76.5373844 42.4685711, -76.5377738 42.4684947, -76.5377673 42.4684828, -76.537865 42.4684626, -76.5378851 42.4685155, -76.5380174 42.4684879, -76.5380485 42.4685743, -76.5379173 42.4686023, -76.5379755 42.4687645, -76.5378407 42.4687915, -76.5378645 42.4688533, -76.5379136 42.4688442, -76.537928 42.4688765, -76.5379543 42.4688724, -76.5379475 42.4688523, -76.5379876 42.468844, -76.5379917 42.4688455, -76.5381492 42.4688155, -76.5381613 42.4688459, -76.5381726 42.468876, -76.5380196 42.4689074, -76.5380251 42.4689237, -76.5379762 42.4689335, -76.5379653 42.4689011, -76.5379342 42.4689072, -76.5379596 42.4689815, -76.5379961 42.468974, -76.5380798 42.4691865, -76.5378639 42.4692276, -76.5378897 42.469307, -76.5379867 42.4692866, -76.5379812 42.469269, -76.5380564 42.4692542, -76.5380606 42.4692645, -76.538095 42.4692579, -76.5381107 42.4693018, -76.5381031 42.4693024, -76.5381283 42.4693659, -76.5381815 42.4694998, -76.538125 42.4695108, -76.5381233 42.4695068, -76.5376118 42.4696108, -76.5375878 42.4695484))",POINT (-76.5373344 42.4691414),13160.8,141662.1
,19,91019969,,retail,,,,"POLYGON ((-76.5106834 42.4301923, -76.5101062 42.4302095, -76.5100732 42.4296326, -76.5100393 42.4296336, -76.510032 42.4294518, -76.51008 42.4294532, -76.5100201 42.4283327, -76.5099336 42.4283342, -76.5099187 42.4280564, -76.5105728 42.4280378, -76.5105862 42.4283125, -76.5107477 42.4283045, -76.5107487 42.4283258, -76.5109449 42.4283247, -76.5109937 42.4291826, -76.5106631 42.4291914, -76.5106635 42.4293293, -76.5106265 42.4293334, -76.5106514 42.4297332, -76.5107532 42.4297312, -76.5107593 42.4298263, -76.5107015 42.429852, -76.5106654 42.4298534, -76.5106834 42.4301923))",POINT (-76.5104264 42.4290455),14473.4,155790.4
Wegmans,20,91019970,,retail,,,,"POLYGON ((-76.5113826 42.4361102, -76.5111433 42.4361183, -76.5109768 42.4360021, -76.5108991 42.4360658, -76.5102859 42.4360822, -76.5102132 42.4360292, -76.5100666 42.4361487, -76.5098691 42.4361531, -76.509845 42.4357917, -76.5097698 42.4357954, -76.5097387 42.435331, -76.5100983 42.4353211, -76.5100983 42.4353004, -76.5113408 42.4352704, -76.5113826 42.4361102))",POINT (-76.5105804 42.4356865),11376.6,122457.0
Lowe's,21,91019973,,retail,,,,"POLYGON ((-76.5134232 42.4316976, -76.5136411 42.4316913, -76.5136427 42.4317217, -76.5146087 42.431694, -76.5145365 42.4303228, -76.514363 42.4303278, -76.5143471 42.4300239, -76.5141393 42.4300299, -76.5141457 42.4301522, -76.513846 42.4301607, -76.5138619 42.4304664, -76.5138504 42.4304667, -76.5135683 42.4304747, -76.5135755 42.4306138, -76.5134856 42.4306163, -76.5135224 42.4313221, -76.5136233 42.4313192, -76.5136314 42.4314743, -76.5134119 42.4314805, -76.5134232 42.4316976))",POINT (-76.5140594 42.4309884),13948.3,150138.6
,22,91019974,,retail,,,,"POLYGON ((-76.5108153 42.4318739, -76.5108187 42.4319797, -76.5106641 42.4319824, -76.51068 42.432476, -76.5105533 42.4324782, -76.5105866 42.4331341, -76.5098722 42.4331502, -76.5098845 42.4327554, -76.5098481 42.4327553, -76.5098292 42.4323999, -76.5098751 42.4324004, -76.5098705 42.4322818, -76.5098602 42.4322256, -76.5098261 42.4322034, -76.5098241 42.4319682, -76.5098565 42.4319444, -76.5098543 42.4318728, -76.5098492 42.43171, -76.5098388 42.4317076, -76.5098402 42.431654, -76.5098868 42.4316521, -76.5098853 42.4315643, -76.5106554 42.4315465, -76.510666 42.4318765, -76.5108153 42.4318739))",POINT (-76.5102487 42.4323177),11329.5,121949.1
Threshold Plaza,23,91019975,,retail,,,,"POLYGON ((-76.510406 42.4314276, -76.5102542 42.4314336, -76.5102527 42.4314462, -76.5101511 42.4314473, -76.5101289 42.4311185, -76.5101283 42.4309294, -76.509638 42.430937, -76.5088526 42.4309554, -76.5088395 42.4306499, -76.509542 42.4306335, -76.509545 42.4307033, -76.510276 42.4306862, -76.5102853 42.4309037, -76.5103898 42.4309012, -76.510406 42.4314276))",POINT (-76.5097138 42.4309),4798.7,51652.7
Recycling and Solid Waster Center,24,91021237,,yes,waste_transfer_station,,,"POLYGON ((-76.5191305 42.4244441, -76.5186941 42.4246941, -76.5186706 42.4246718, -76.5184392 42.4244518, -76.5182506 42.4242723, -76.518687 42.4240223, -76.5191305 42.4244441))",POINT (-76.5186905 42.4243582),2694.5,29003.4
,25,91025029,,house,,,,"POLYGON ((-76.496327 42.4447528, -76.4960443 42.444763, -76.4960381 42.4446695, -76.4961003 42.4446672, -76.4960982 42.4446347, -76.4962855 42.4446279, -76.496291 42.4447115, -76.4963242 42.4447103, -76.496327 42.4447528))",POINT (-76.4961778 42.4447),282.3,3039.0
